,city,x,y
0,1,-30133.3333,-57633.3333
1,2,-30166.6667,-57100.0
2,3,-30233.3333,-57583.3333
3,4,-30250.0,-56850.0
4,5,-30250.0,-56950.0
5,6,-30250.0,-57583.3333
6,7,-30300.0,-56966.6667
7,8,-30316.6667,-56816.6667
8,9,-30400.0,-56466.6667
9,10,-30400.0,-56783.3333
10,11,-30433.3333,-57433.3333
11,12,-30466.6667,-56550.0
12,13,-30483.3333,-56516.6667
13,14,-30500.0,-56450.0
14,15,-30500.0,-56666.6667
15,16,-30550.0,-57866.6667
16,17,-30566.6667,-56883.3333
17,18,-30600.0,-57683.3333
18,19,-30616.6667,-56900.0
19,20,-30633.3333,-56166.6667
20,21,-30683.3333,-57033.3333
21,22,-30683.3333,-57516.6667
22,23,-30716.6667,-56600.0
23,24,-30733.3333,-56733.3333
24,25,-30733.3333,-57316.6667
25,26,-30750.0,-56750.0
26,27,-30783.3333,-57783.3333
27,28,-30833.3333,-56750.0
28,29,-30866.6667,-56366.6667
29,30,-30900.0,-55516.6667
30,31,-30916.6667,-56300.0
31,32,-30933.3333,-55483.3333
32,33,-30933.3333,-55550.0
33,34,-30950.0,-56650.0
34,35,-30966.6667,-55550.0
35,36,-30966.6667,-57533.3333
36,37,-31000.0,-55683.3333
37,38,-31000.0,-56250.0
38,39,-31016.6667,-56566.6667
39,40,-31033.3333,-56600.0
40,41,-31033.3333,-56883.3333
41,42,-31083.3333,-56016.6667
42,43,-31083.3333,-56516.6667
43,44,-31083.3333,-57016.6667
44,45,-31083.3333,-57516.6667
45,46,-31083.3333,-57600.0
46,47,-31083.3333,-57833.3333
47,48,-31100.0,-55666.6667
48,49,-31100.0,-55983.3333
49,50,-31100.0,-57016.6667
50,51,-31116.6667,-56466.6667
51,52,-31166.6667,-55750.0
52,53,-31166.6667,-57000.0
53,54,-31166.6667,-57083.3333
54,55,-31183.3333,-56283.3333
55,56,-31183.3333,-56933.3333
56,57,-31200.0,-55750.0
57,58,-31200.0,-57233.3333
58,59,-31216.6667,-55666.6667
59,60,-31216.6667,-56316.6667
60,61,-31233.3333,-55633.3333
61,62,-31233.3333,-55883.3333
62,63,-31233.3333,-57116.6667
63,64,-31250.0,-55333.3333
64,65,-31250.0,-55950.0
65,66,-31250.0,-56833.3333
66,67,-31250.0,-57166.6667
67,68,-31250.0,-57200.0
68,69,-31283.3333,-56433.3333
69,70,-31300.0,-55866.6667
70,71,-31300.0,-56016.6667
71,72,-31300.0,-57066.6667
72,73,-31300.0,-57100.0
73,74,-31300.0,-57133.3333
74,75,-31300.0,-57150.0
75,76,-31300.0,-57200.0
76,77,-31300.0,-57700.0
77,78,-31316.6667,-55200.0
78,79,-31333.3333,-57800.0
79,80,-31333.3333,-57833.3333
80,81,-31333.3333,-57883.3333
81,82,-31350.0,-55383.3333
82,83,-31350.0,-56633.3333
83,84,-31350.0,-57783.3333
84,85,-31350.0,-57800.0
85,86,-31350.0,-57983.3333
86,87,-31366.6667,-55083.3333
87,88,-31366.6667,-55666.6667
88,89,-31366.6667,-55850.0
89,90,-31383.3333,-55866.6667
90,91,-31383.3333,-57966.6667
91,92,-31400.0,-56366.6667
92,93,-31400.0,-57783.3333
93,94,-31416.6667,-54916.6667
94,95,-31416.6667,-56683.3333
95,96,-31433.3333,-55233.3333
96,97,-31450.0,-55416.6667
97,98,-31450.0,-56383.3333
98,99,-31466.6667,-55166.6667
99,100,-31466.6667,-56833.3333
100,101,-31483.3333,-54833.3333
101,102,-31500.0,-54716.6667
102,103,-31500.0,-55166.6667
103,104,-31500.0,-56033.3333
104,105,-31500.0,-57116.6667
105,106,-31516.6667,-54966.6667
106,107,-31516.6667,-55766.6667
107,108,-31516.6667,-55966.6667
108,109,-31516.6667,-57533.3333
109,110,-31516.6667,-57583.3333
110,111,-31533.3333,-55583.3333
111,112,-31533.3333,-55833.3333
112,113,-31533.3333,-56050.0
113,114,-31550.0,-55550.0
114,115,-31550.0,-57950.0
115,116,-31566.6667,-54550.0
116,117,-31583.3333,-55466.6667
117,118,-31583.3333,-57616.6667
118,119,-31600.0,-55850.0
119,120,-31600.0,-56750.0
